name,mrp,discountpercent
Spinach,19,15
Orange Nagpur,82,15
Beans French,33,15
Bottle Gourd ,26,15
Banana Elaichi ,58,15
Curry Leaves,13,15
Brinjal Bharta,19,15
Baby Potato,19,15
Coccinia,32,15
Apple Washington,177,15
Amla,32,15
Apple Royal Gala,189,15
Raw Banana,20,15
Sweet Potato ,38,15
Pineapple Slice,89,15
Dragon Fruit Imported,70,15
Pineapple,94,15
Basil,20,15
Papaya Cut,46,15
Pomegranate Peeled,58,15
Pear Green Imported,82,15
Guava Thai,70,15
Lettuce Red,20,15
Biryani /Pulav Mix,58,15
Avocado Indian Premium,177,15
Zama Organics Carrot,20,15
Carrot,13,15
iD Idli & Dosa Batter ,80,15
Arden Eggs White,65,15
24 Mantra Organic Jaggery Powder,80,15
Sunfeast Yippee! Power Up Atta Noodles,96,15
Popular Essentials Pe Shah Jeera ,60,15
Popular Essentials Dry Dates (Kharak),140,15
24 Mantra Organic Urad White Whole,145,15
Popular Essentials Sabja/Basil Seeds,60,15
iD Idli & Dosa Batter ,80,15
Arden Eggs White,65,15
24 Mantra Organic Jaggery Powder,80,15
Sunfeast Yippee! Power Up Atta Noodles,96,15
Popular Essentials Pe Shah Jeera ,60,15
Popular Essentials Dry Dates (Kharak),140,15
24 Mantra Organic Urad White Whole,145,15
Popular Essentials Sabja/Basil Seeds,60,15
iD Idli & Dosa Batter ,80,15
Arden Eggs White,65,15
iD Idli & Dosa Batter ,80,15
Arden Eggs White,65,15
iD Idli & Dosa Batter ,80,15
Yogabar No Added Sugar Protein Bar Brownie,125,15
Sunfeast Yippee! Power Up Atta Noodles,96,15
Wingreens Farms Tangy Cheese Pita Chips & Mexican Salsa Dip,60,15
Cantina Tortilla Dip Sauce Sour Creamy Tex Mex,225,15
Pantai Sriracha Red Chilli Sauce,225,15
Pantai Teriyaki Sauce with Garlic,325,15
Cantina Tabasco Red Sauce,140,15
Pantai Sriracha Yellow Chilli Sauce,225,15
Pantai Sriracha Green Chilli Sauce,225,15
Cantina Tabasco Green Sauce,140,15
iD Idli & Dosa Batter ,80,15
Yogabar No Added Sugar Protein Bar Brownie,125,15
